time-id,method,spot,id
2,neighborhood,hot,457
2,neighborhood,hot,459
2,neighborhood,hot,463
2,neighborhood,hot,468
2,neighborhood,hot,474
2,neighborhood,hot,480
2,neighborhood,hot,483
2,neighborhood,hot,489
2,neighborhood,hot,494
2,neighborhood,hot,497
2,neighborhood,hot,514
2,neighborhood,hot,521
2,neighborhood,hot,527
2,neighborhood,hot,531
2,neighborhood,hot,534
2,neighborhood,hot,538
2,neighborhood,hot,545
2,neighborhood,hot,547
2,neighborhood,hot,548
2,neighborhood,hot,563
2,neighborhood,hot,567
2,neighborhood,hot,576
2,neighborhood,hot,598
2,neighborhood,hot,599
2,neighborhood,hot,600
2,neighborhood,hot,617
2,neighborhood,hot,627
2,neighborhood,hot,631
2,neighborhood,hot,640
2,neighborhood,hot,653
2,neighborhood,hot,654
2,neighborhood,hot,657
2,neighborhood,hot,669
2,neighborhood,hot,692
2,neighborhood,hot,710
2,neighborhood,hot,714
2,neighborhood,hot,728
2,neighborhood,hot,733
2,neighborhood,hot,736
2,neighborhood,hot,747
2,neighborhood,hot,755
2,neighborhood,hot,759
2,neighborhood,hot,760
2,neighborhood,hot,768
2,neighborhood,hot,773
2,neighborhood,hot,783
2,neighborhood,hot,786
2,neighborhood,hot,789
2,neighborhood,hot,790
2,neighborhood,hot,791
2,neighborhood,hot,797
2,neighborhood,hot,818
2,state,cold,416
2,state,cold,720
2,state,cold,728
2,state,cold,794
2,state,hot,103
2,state,hot,104
2,state,hot,154
2,state,hot,159
2,state,hot,172
2,state,hot,174
2,state,hot,178
2,state,hot,188
2,state,hot,206
2,state,hot,216
2,state,hot,222
2,state,hot,235
2,state,hot,252
2,state,hot,268
2,state,hot,287
2,state,hot,295
2,state,hot,303
2,state,hot,319
2,state,hot,322
2,state,hot,329
2,state,hot,331
2,state,hot,351
2,state,hot,353
2,state,hot,355
2,state,hot,359
2,state,hot,361
2,state,hot,362
2,state,hot,387
2,state,hot,389
2,state,hot,403
2,state,hot,409
2,state,hot,411
2,state,hot,421
2,state,hot,435
2,state,hot,457
2,state,hot,463
2,state,hot,468
2,state,hot,480
2,state,hot,483
2,state,hot,489
2,state,hot,527
2,state,hot,531
2,state,hot,534
2,state,hot,538
2,state,hot,546
2,state,hot,547
2,state,hot,548
2,state,hot,563
2,state,hot,574
2,state,hot,576
2,state,hot,579
2,state,hot,587
2,state,hot,599
2,state,hot,600
2,state,hot,613
2,state,hot,617
2,state,hot,640
2,state,hot,653
2,state,hot,657
2,state,hot,692
2,state,hot,710
2,state,hot,711
2,state,hot,729
2,state,hot,736
2,state,hot,773
2,state,hot,789
3,neighborhood,cold,112
3,neighborhood,cold,116
3,neighborhood,cold,119
3,neighborhood,cold,121
3,neighborhood,cold,128
3,neighborhood,cold,133
3,neighborhood,cold,137
3,neighborhood,cold,142
3,neighborhood,cold,164
3,neighborhood,cold,176
3,neighborhood,cold,198
3,neighborhood,cold,203
3,neighborhood,cold,204
3,neighborhood,cold,212
3,neighborhood,cold,214
3,neighborhood,cold,220
3,neighborhood,cold,221
3,neighborhood,cold,227
3,neighborhood,cold,240
3,neighborhood,cold,242
3,neighborhood,cold,275
3,neighborhood,cold,282
3,neighborhood,cold,307
3,neighborhood,cold,309
3,neighborhood,cold,357
3,neighborhood,cold,393
3,neighborhood,cold,413
3,neighborhood,cold,414
3,neighborhood,cold,434
3,neighborhood,cold,438
3,neighborhood,cold,442
3,neighborhood,cold,443
3,neighborhood,cold,455
3,neighborhood,cold,471
3,neighborhood,cold,475
3,neighborhood,cold,499
3,neighborhood,cold,502
3,neighborhood,cold,504
3,neighborhood,cold,517
3,neighborhood,cold,528
3,neighborhood,cold,532
3,neighborhood,cold,574
3,neighborhood,cold,587
3,neighborhood,cold,609
3,neighborhood,cold,613
3,neighborhood,cold,614
3,neighborhood,cold,622
3,neighborhood,cold,634
3,neighborhood,cold,644
3,neighborhood,cold,651
3,neighborhood,cold,659
3,neighborhood,cold,663
3,neighborhood,cold,680
3,neighborhood,cold,686
3,neighborhood,cold,693
3,neighborhood,cold,701
3,neighborhood,cold,705
3,neighborhood,cold,710
3,neighborhood,cold,713
3,neighborhood,cold,716
3,neighborhood,cold,723
3,neighborhood,cold,730
3,neighborhood,cold,745
3,neighborhood,cold,773
3,neighborhood,cold,775
3,neighborhood,cold,787
3,neighborhood,cold,798
3,neighborhood,hot,103
3,neighborhood,hot,104
3,neighborhood,hot,108
3,neighborhood,hot,120
3,neighborhood,hot,124
3,neighborhood,hot,130
3,neighborhood,hot,134
3,neighborhood,hot,144
3,neighborhood,hot,145
3,neighborhood,hot,148
3,neighborhood,hot,150
3,neighborhood,hot,158
3,neighborhood,hot,168
3,neighborhood,hot,171
3,neighborhood,hot,174
3,neighborhood,hot,179
3,neighborhood,hot,188
3,neighborhood,hot,193
3,neighborhood,hot,194
3,neighborhood,hot,207
3,neighborhood,hot,216
3,neighborhood,hot,222
3,neighborhood,hot,233
3,neighborhood,hot,236
3,neighborhood,hot,251
3,neighborhood,hot,252
3,neighborhood,hot,259
3,neighborhood,hot,261
3,neighborhood,hot,283
3,neighborhood,hot,287
3,neighborhood,hot,290
3,neighborhood,hot,310
3,neighborhood,hot,313
3,neighborhood,hot,317
3,neighborhood,hot,321
3,neighborhood,hot,324
3,neighborhood,hot,325
3,neighborhood,hot,329
3,neighborhood,hot,331
3,neighborhood,hot,332
3,neighborhood,hot,344
3,neighborhood,hot,346
3,neighborhood,hot,351
3,neighborhood,hot,354
3,neighborhood,hot,355
3,neighborhood,hot,356
3,neighborhood,hot,358
3,neighborhood,hot,359
3,neighborhood,hot,361
3,neighborhood,hot,362
3,neighborhood,hot,368
3,neighborhood,hot,369
3,neighborhood,hot,375
3,neighborhood,hot,387
3,neighborhood,hot,403
3,neighborhood,hot,409
3,neighborhood,hot,411
3,neighborhood,hot,423
3,neighborhood,hot,431
3,neighborhood,hot,446
3,neighborhood,hot,449
3,neighborhood,hot,450
3,neighborhood,hot,459
3,neighborhood,hot,460
3,neighborhood,hot,463
3,neighborhood,hot,465
3,neighborhood,hot,467
3,neighborhood,hot,468
3,neighborhood,hot,480
3,neighborhood,hot,489
3,neighborhood,hot,490
3,neighborhood,hot,493
3,neighborhood,hot,494
3,neighborhood,hot,506
3,neighborhood,hot,513
3,neighborhood,hot,521
3,neighborhood,hot,527
3,neighborhood,hot,531
3,neighborhood,hot,533
3,neighborhood,hot,545
3,neighborhood,hot,546
3,neighborhood,hot,552
3,neighborhood,hot,577
3,neighborhood,hot,583
3,neighborhood,hot,599
3,neighborhood,hot,600
3,neighborhood,hot,617
3,neighborhood,hot,631
3,neighborhood,hot,639
3,neighborhood,hot,640
3,neighborhood,hot,656
3,neighborhood,hot,657
3,neighborhood,hot,695
3,neighborhood,hot,702
