id,timeid,z_neighbour,z_state
131,1,-0.66,-0.36
131,2,-0.78,-0.23
131,3,-0.60,-0.95
131,4,-0.57,-1.31
131,5,-0.96,-0.56
131,6,-0.99,-0.75
131,7,-0.91,-0.80
132,1,-0.50,-0.20
132,2,-0.71,-0.24
132,3,-0.43,-0.31
132,4,-0.22,-0.29
132,5,-1.89,-0.49
132,6,-1.81,-0.50
132,7,-1.47,-0.46
133,1,0,-0.24
133,2,2.55,-0.26
133,3,-1.24,-0.63
133,4,-1.08,-0.54
133,5,-0.74,-0.60
133,6,-0.63,-0.43
133,7,-0.23,-0.42
134,1,-0.30,-0.29
134,2,0.68,-0.18
134,3,2.64,0.00
134,4,1.77,0.05
134,5,1.21,0.15
134,6,-0.02,0.07
134,7,-0.60,-0.26
135,1,0,-0.24
135,2,-0.44,-0.43
135,3,-0.16,0.02
135,4,0.39,-0.11
135,5,1.86,0.03
135,6,0.99,0.01
135,7,2.22,0.32
136,1,-0.46,-0.24
136,2,1.90,-0.30
136,3,-0.41,-0.26
136,4,-0.32,-0.17
136,5,-0.30,-0.23
136,6,-0.01,0.12
136,7,-0.17,-0.16
138,1,0,-0.42
138,2,0.23,0.50
138,3,0.01,-0.05
138,4,-0.99,-0.52
138,5,-0.53,-0.25
138,6,-0.28,-0.20
138,7,-1.25,-0.36
139,1,0,-0.35
139,2,-0.70,-0.60
139,3,-0.52,-0.66
139,4,-0.37,-0.71
139,5,-0.98,-0.81
139,6,-3.13,-0.80
139,7,-1.64,-0.96
140,1,-0.54,-0.05
140,2,-0.59,-0.19
140,3,-0.83,-0.59
140,4,-0.51,0.05
140,5,-0.70,-0.39
140,6,-1.19,-0.65
140,7,-1.41,-0.65
141,1,0,-0.24
141,2,0.60,-0.28
141,3,0.36,-0.08
141,4,-0.14,-0.61
141,5,-0.07,-0.51
141,6,0.40,-0.15
141,7,-0.01,-0.29
142,1,0,-0.17
142,2,-0.60,-0.52
142,3,-1.10,-0.50
142,4,-0.18,-0.23
142,5,-0.93,-0.31
142,6,-0.79,-0.51
142,7,0.98,-0.01
143,1,-0.49,-0.20
143,2,-0.41,-0.24
143,3,-0.52,-0.32
143,4,-0.59,-0.35
143,5,-0.47,-0.42
143,6,-0.47,-0.44
143,7,-0.51,-0.37
144,1,0,-0.25
144,2,-0.44,-0.39
144,3,2.94,-0.07
144,4,1.13,-0.17
144,5,0.62,-0.35
144,6,0.71,-0.42
144,7,-0.11,-0.51
145,1,-0.60,-0.25
145,2,1.34,0.80
145,3,3.01,1.11
145,4,0.22,0.13
145,5,0.12,-0.10
145,6,0.26,0.12
145,7,-0.18,-0.03
146,1,2.71,0.02
146,2,-0.35,-0.14
146,3,-0.66,-0.70
146,4,0.73,0.63
146,5,0.18,0.24
146,6,0.39,0.57
146,7,0.57,0.36
147,1,-0.41,-0.24
147,2,-0.89,-0.44
147,3,-0.91,-0.47
147,4,-1.25,-0.52
147,5,1.42,0.62
147,6,0.91,0.26
147,7,0.69,-0.19
148,1,-1.00,-0.35
148,2,0,-0.22
148,3,1.47,0.61
148,4,-0.87,-0.79
148,5,-1.30,-0.43
148,6,-0.98,-0.37
148,7,-0.87,-0.28
149,1,-0.50,-0.35
149,2,-0.40,-0.22
149,3,-0.30,0.13
149,4,1.17,1.65
149,5,-0.43,-0.21
149,6,-0.50,-0.27
149,7,-0.55,-0.25
150,1,0,-0.35
150,2,0.63,-0.02
150,3,1.84,2.91
150,4,2.51,0.64
150,5,0.53,0.01
150,6,0.94,0.04
150,7,2.18,-0.16
151,1,-0.66,-0.35
151,2,-0.46,-0.22
151,3,-0.80,-0.31
151,4,-1.83,-0.63
151,5,-0.63,-0.35
151,6,-0.68,-0.42
151,7,-0.67,-0.38
152,1,-0.70,-0.46
152,2,3.96,-0.19
152,3,0.16,-0.18
152,4,-0.77,-0.24
152,5,0.43,-0.18
152,6,-0.04,-0.36
152,7,0.92,-0.32
153,1,0,-0.24
153,2,0,-0.35
153,3,-0.15,-0.57
153,4,-0.86,-0.77
153,5,0.45,-0.57
153,6,0.45,-0.57
153,7,1.19,-0.51
154,1,0.61,1.63
154,2,3.15,3.98
154,3,-0.37,0.02
154,4,-1.27,-0.53
154,5,-0.64,-0.34
154,6,-0.22,0.35
154,7,-0.48,-0.10
155,1,-0.45,-0.36
155,2,-0.42,-0.39
155,3,0.93,0.43
155,4,0.34,-0.36
155,5,-0.41,-0.59
155,6,-0.20,-0.64
155,7,-0.33,-0.60
156,1,-0.46,-0.50
156,2,0,0
156,3,-0.42,-0.43
156,4,-0.05,-0.42
156,5,-0.44,-0.51
156,6,-0.31,-0.47
156,7,-0.06,-0.34
157,1,-0.69,-0.41
157,2,10.22,-0.00
157,3,-0.48,-0.53
157,4,-1.12,-0.77
157,5,-1.53,-0.77
157,6,-0.83,-0.71
157,7,-0.34,-0.45
158,1,-0.41,-0.24
158,2,-0.58,-0.43
158,3,1.07,0.83
158,4,-0.09,-0.16
158,5,-0.22,-0.01
158,6,-0.27,0.12
158,7,-0.22,0.27
159,1,-0.64,-0.28
159,2,0.42,1.29
159,3,0.78,0.98
159,4,1.74,1.51
159,5,0.27,0.87
159,6,-0.29,0.07
159,7,-0.28,-0.12
160,1,-0.50,-0.41
160,2,-0.63,-0.43
160,3,-0.70,-0.64
160,4,-0.53,-0.64
160,5,-0.81,-0.79
