id,timeid,mean,sd
332,1,2176.25,1168.87
333,1,2538.75,3057.74
334,1,6881.86,9521.64
335,1,3165.44,2342.36
336,1,9809.40,5663.25
337,1,1423.00,245.82
338,1,13098.25,17972.96
339,1,4997.20,2733.94
340,1,16111.83,11314.04
341,1,4421.00,2502.74
342,1,20252.67,10656.59
343,1,5955.43,5003.60
344,1,7143.50,3760.78
345,1,2551.00,1865.29
346,1,1887.00,2975.58
347,1,20827.17,22858.24
348,1,1132.83,224.71
349,1,3648.71,3793.72
350,1,35194.50,28608.22
351,1,9638.50,1796.50
352,1,16381.22,9039.63
353,1,924.33,561.54
354,1,450.00,190.61
355,1,2476.00,880.66
356,1,677.00,365.67
357,1,9489.67,5775.90
358,1,2808.50,1477.40
359,1,5819.14,4667.25
360,1,12488.33,8173.76
361,1,6832.40,5304.81
362,1,5836.50,7005.23
363,1,3516.50,2486.01
364,1,20737.88,26470.78
365,1,24833.80,21827.23
366,1,4077.60,2208.55
367,1,3963.75,4028.36
368,1,1487.50,464.70
369,1,2935.25,3368.20
370,1,4408.00,2106.87
371,1,3791.14,630.65
372,1,2532.67,1355.03
373,1,2913.50,1243.35
374,1,3402.83,2555.98
375,1,8298.71,6117.12
376,1,2541.38,1738.35
377,1,15926.25,15589.92
378,1,1674.80,471.44
379,1,7282.71,7683.59
380,1,2530.71,3123.04
381,1,1567.90,744.59
382,1,7906.17,3576.88
383,1,5747.25,1950.19
384,1,3459.25,1260.13
385,1,6099.67,3228.21
386,1,2016.25,3247.64
387,1,5515.60,2970.89
388,1,26497.00,36843.63
389,1,1129.40,1609.17
390,1,3426.50,3117.61
391,1,1286.67,1561.29
392,1,5481.40,1948.02
393,1,5892.50,4339.05
394,1,571.33,546.21
395,1,11094.00,11399.89
396,1,4240.43,3102.12
397,1,5290.50,3788.98
398,1,14592.17,8775.86
399,1,5151.43,4136.28
400,1,255.67,117.69
401,1,1302.43,1654.97
402,1,6468.33,14587.67
403,1,2718.00,2702.95
404,1,75806.40,97551.46
405,1,9401.14,11266.63
406,1,459.50,454.99
407,1,1784.89,1449.06
408,1,6991.43,9229.13
409,1,5453.40,4335.12
410,1,8066.60,10705.51
411,1,3273.33,1076.85
412,1,24457.50,5362.50
413,1,5095.71,3724.84
414,1,6491.00,1096.00
415,1,3196.50,2368.59
416,1,2453.50,1644.29
417,1,3139.00,2782.27
418,1,2596.50,1366.58
419,1,3934.29,2407.28
420,1,8889.20,4425.96
421,1,12218.67,10084.05
422,1,3400.60,2542.86
423,1,1516.20,632.39
424,1,7097.20,3527.15
425,1,2327.40,3052.20
426,1,6060.40,6578.04
427,1,8663.75,5204.29
428,1,5748.12,2441.13
429,1,7338.17,2677.21
430,1,24164.40,30754.25
431,1,3050.00,3311.14
432,1,12322.57,18581.17
433,1,12389.29,19863.69
434,1,4907.60,870.13
435,1,16825.75,12026.44
436,1,4147.00,2158.43
437,1,5205.40,5851.89
438,1,760.25,654.62
439,1,140.00,65.38
440,1,7354.00,2109.47
441,1,1710.80,1568.73
442,1,3938.50,2439.31
443,1,16443.50,11389.98
444,1,5345.00,2307.35
445,1,1309.29,1667.18
446,1,2034.00,1666.54
447,1,24359.50,28868.55
448,1,2870.00,2917.85
449,1,12427.40,11443.63
450,1,39755.67,20879.71
451,1,16713.50,8765.19
452,1,2172.20,1531.02
453,1,1165.67,700.78
454,1,77653.12,104889.62
455,1,20022.75,12697.47
456,1,18978.29,25326.58
457,1,2289.50,1439.46
458,1,1453.00,1302.40
459,1,1580.29,739.40
460,1,8321.75,3449.31
461,1,7319.50,7059.27
462,1,669.00,1143.28
463,1,39563.75,36552.87
464,1,44094.33,75030.52
465,1,1801.14,1459.88
466,1,687.80,604.84
467,1,4671.00,728.00
468,1,30000.25,28063.06
469,1,6497.40,3757.93
470,1,912.25,1184.18
471,1,8889.60,4808.73
472,1,2657.50,897.96
473,1,1288.14,942.94
474,1,2663.29,3093.61
475,1,12297.83,13812.94
476,1,2155.88,2557.12
477,1,4246.29,5198.23
478,1,9804.00,2805.76
479,1,145.50,89.50
480,1,1179.00,1164.00
481,1,269.33,39.97
482,1,6798.00,7123.47
483,1,1346.60,1944.63
484,1,2632.75,3900.51
485,1,450.50,389.21
486,1,1173.67,1820.64
487,1,310.43,304.66
488,1,986.00,1386.64
489,1,4689.80,1420.86
490,1,3878.29,3645.52
491,1,293.00,425.71
492,1,6962.00,2186.69
493,1,5428.75,759.62
494,1,17580.00,6898.29
495,1,2066.33,926.48
496,1,3141.20,4165.95
497,1,9047.50,5460.57
498,1,5660.17,7391.33
499,1,9371.00,1929.00
500,1,7036.25,6567.60
501,1,1852.50,680.81
502,1,3511.00,3034.19
503,1,2971.00,789.86
504,1,5169.00,2760.16
505,1,7166.00,3343.55
506,1,6002.40,2666.57
507,1,39825.60,46760.43
508,1,1430.67,972.77
509,1,1444.83,805.15
510,1,2122.17,1366.91
511,1,2148.20,3122.43
512,1,3998.33,2847.97
513,1,15103.00,11159.51
514,1,3241.60,1239.97
515,1,10499.17,16762.86
516,1,4548.50,2790.21
517,1,9212.40,4656.02
518,1,5328.33,4577.48
519,1,4079.25,2218.48
520,1,12291.00,18715.76
521,1,5513.00,5131.40
522,1,12091.67,21253.19
523,1,6693.71,7073.98
524,1,7837.67,7006.99
525,1,1335.00,2360.68
526,1,240.33,352.99
527,1,4507.83,1773.88
528,1,4852.50,2702.37
529,1,3725.43,3305.63
530,1,1449.60,561.99
531,1,60154.75,92272.18
532,1,279974.00,0
533,1,1540.33,1408.60
534,1,6080.33,3437.52
535,1,5070.67,3213.86
536,1,5461.50,3094.67
537,1,6190.75,2437.52
538,1,7617.80,5205.84
539,1,2301.33,2368.67
540,1,24357.25,26171.07
541,1,1710.57,1789.99
542,1,11620.25,8062.52
543,1,31780.71,33745.25
544,1,11018.86,7285.89
545,1,3144.29,3253.20
546,1,2769.40,2522.89
547,1,11332.33,14086.93
548,1,3327.33,2415.27
549,1,17602.00,27029.65
550,1,11518.50,7278.70
551,1,2138.33,2172.46
552,1,5321.78,4477.58
553,1,3678.83,5580.20
554,1,7840.43,7984.36
555,1,878.20,545.04
556,1,11087.00,14422.55
557,1,2259.57,2548.31
558,1,47283.20,73501.43
559,1,24580.60,31351.93
560,1,5369.00,2783.28
561,1,15948.17,14692.32
562,1,3007.75,1275.18
563,1,0.00,0
564,1,12335.33,10129.30
565,1,3898.50,4393.48
566,1,4059.67,3370.88
567,1,4181.00,4654.07
568,1,370.50,241.50
569,1,273.67,148.58
570,1,30877.20,25780.81
571,1,0.00,0
572,1,0.00,0
573,1,1485.83,2365.44
574,1,8370.40,8670.94
575,1,1175.67,1169.00
576,1,1437.00,918.10
577,1,0.00,0
578,1,2604.20,1460.49
579,1,10387.67,7451.76
580,1,23129.17,13206.61
581,1,1794.80,1458.90
582,1,3141.60,2186.08
583,1,15708.25,10879.15
584,1,12153.83,16874.68
585,1,68230.40,99521.86
586,1,6838.25,6672.74
587,1,13489.33,9483.24
588,1,5649.40,2849.58
589,1,4415.00,5787.10
590,1,4043.00,3049.58
591,1,1275.20,235.47
592,1,757.75,1485.27
593,1,8636.29,4390.28
594,1,4225.67,1857.88
595,1,11531.00,8494.28
596,1,2501.75,254.31
597,1,9957.00,5199.42
598,1,2337.00,1438.08
599,1,4074.14,2362.12
600,1,6693.00,2496.99
601,1,3982.62,3304.62
602,1,2711.50,1693.76
603,1,15698.60,6451.58
604,1,1135.33,1307.73
605,1,619.20,819.51
606,1,1571.00,2735.21
607,1,6683.25,4562.58
608,1,750.50,248.72
609,1,4732.75,3009.05
610,1,56136.40,29711.15
611,1,5789.71,5689.44
612,1,3148.86,2018.47
613,1,19527.00,4037.00
614,1,11619.50,2801.60
615,1,6581.75,7075.42
616,1,2362.00,1992.20
617,1,71362.17,85417.48
618,1,7992.50,3649.46
619,1,16837.75,8355.60
620,1,22925.50,13296.47
621,1,6616.17,2641.79
622,1,6704.44,5200.92
623,1,11054.71,17903.29
624,1,23032.50,27794.10
