id,time-id,mean,sd
128.0,2,7.06,12.69
128.0,3,132.33,73.32
128.0,4,329.25,148.96
128.0,5,1817.61,2060.70
128.0,6,4547.83,4021.81
128.0,7,474.86,414.24
129.0,1,2.31,5.01
129.0,2,100.28,381.55
129.0,3,698.03,2858.22
129.0,4,943.25,3286.34
129.0,5,1573.69,3008.98
129.0,6,2133.97,3182.13
129.0,7,385.94,599.02
130.0,1,3.69,7.36
130.0,2,50.47,86.88
130.0,3,900.47,3745.70
130.0,4,3043.03,12282.61
130.0,5,8148.03,15824.48
130.0,6,9998.19,12331.93
130.0,7,1655.41,2103.45
131.0,1,0.58,1.59
131.0,2,6.94,12.73
131.0,3,131.92,73.76
131.0,4,330.56,147.47
131.0,5,1821.06,2058.88
131.0,6,4624.11,3991.92
131.0,7,494.42,415.58
132.0,1,1.29,6.35
132.0,2,39.73,165.16
132.0,3,196.75,591.28
132.0,4,219.86,523.45
132.0,5,594.22,1022.78
132.0,6,1154.67,1901.15
132.0,7,274.20,440.22
133.0,1,1.28,5.30
133.0,2,24.83,56.31
133.0,3,144.35,173.88
133.0,4,377.24,448.23
133.0,5,1330.25,1613.04
133.0,6,3723.17,4922.38
133.0,7,735.34,961.30
134.0,1,8.06,24.56
134.0,2,133.18,515.08
134.0,3,2476.35,8555.57
134.0,4,4969.56,13448.60
134.0,5,11913.03,25684.61
134.0,6,19974.62,32357.69
134.0,7,4515.50,6416.53
135.0,1,1.28,5.30
135.0,2,24.96,56.26
135.0,3,142.77,174.37
135.0,4,374.54,449.11
135.0,5,1315.94,1617.11
135.0,6,3692.80,4928.70
135.0,7,725.49,961.76
136.0,1,1.28,5.30
136.0,2,24.86,56.30
136.0,3,143.45,174.29
136.0,4,374.93,449.05
136.0,5,1321.80,1616.55
136.0,6,3685.62,4928.22
136.0,7,731.90,962.28
138.0,1,2.97,7.13
138.0,2,12.66,22.48
138.0,3,122.83,116.27
138.0,4,651.97,932.89
138.0,5,5193.45,12064.20
138.0,6,14215.83,25956.03
138.0,7,2763.90,4683.42
139.0,1,0.58,1.66
139.0,2,3.42,5.68
139.0,3,76.50,83.96
139.0,4,340.50,290.05
139.0,5,521.33,585.60
139.0,6,1843.25,1970.74
