District,Overall,Cases
463,1,33299.0
464,1,4462.0
465,1,3845.0
466,1,536.0
467,1,3918.0
468,1,89584.0
469,1,3542.0
470,1,7.0
471,1,6249.0
472,1,2459.0
473,1,15.0
474,1,4619.0
475,1,3606.0
476,1,2594.0
477,1,1802.0
478,1,15830.0
479,1,59.0
480,1,2828.0
481,1,87.0
482,1,1260.0
483,1,291.0
484,1,66.0
485,1,14.0
486,1,113.0
487,1,217.0
488,1,108.0
489,1,54726.0
490,1,21421.0
491,1,235.0
492,1,4243.0
493,1,9248.0
494,1,28369.0
495,1,1909.0
496,1,2265.0
497,1,5717.0
498,1,1267.0
499,1,107.0
500,1,3600.0
501,1,1268.0
502,1,992.0
503,1,3022.0
504,1,246.0
505,1,18680.0
506,1,9985.0
507,1,4756.0
508,1,57.0
509,1,2202.0
510,1,840.0
511,1,436.0
512,1,1676.0
513,1,11044.0
514,1,1245.0
515,1,0.0
516,1,4509.0
517,1,2972.0
518,1,7460.0
519,1,1519.0
520,1,7842.0
521,1,8376.0
522,1,2888.0
523,1,3257.0
524,1,2651.0
525,1,49.0
526,1,612.0
527,1,10063.0
528,1,1851.0
529,1,4154.0
530,1,860.0
531,1,279974.0
532,1,0.0
533,1,709.0
534,1,4684.0
535,1,6906.0
536,1,4169.0
537,1,12027.0
538,1,35892.0
539,1,2331.0
540,1,7892.0
541,1,7033.0
542,1,5395.0
543,1,1571.0
544,1,4866.0
545,1,55864.0
546,1,5513.0
547,1,9216.0
548,1,1780.0
549,1,4203.0
550,1,4384.0
551,1,402.0
552,1,13426.0
553,1,5048.0
554,1,475.0
555,1,1078.0
556,1,1267.0
557,1,906.0
558,1,78964.0
559,1,1796.0
560,1,4379.0
561,1,6121.0
562,1,2397.0
563,1,4.0
564,1,3353.0
565,1,875.0
566,1,367.0
567,1,3857.0
568,1,0.0
569,1,85.0
570,1,69192.0
571,1,2.0
572,1,1.0
573,1,41.0
574,1,3694.0
575,1,2.0
576,1,2106.0
577,1,4.0
578,1,1223.0
579,1,1474.0
580,1,11796.0
581,1,51.0
582,1,994.0
583,1,9302.0
584,1,3375.0
585,1,49481.0
586,1,8202.0
587,1,3073.0
588,1,4695.0
589,1,2815.0
590,1,7572.0
591,1,546.0
592,1,2947.0
593,1,5134.0
594,1,7673.0
595,1,9682.0
596,1,2148.0
597,1,6742.0
598,1,2468.0
599,1,12806.0
600,1,42525.0
601,1,1145.0
602,1,2573.0
603,1,2735.0
604,1,696.0
605,1,66.0
606,1,48.0
607,1,4641.0
608,1,634.0
609,1,622.0
610,1,42426.0
611,1,4424.0
612,1,19071.0
613,1,24569.0
614,1,12188.0
615,1,5237.0
616,1,854.0
617,1,330482.0
618,1,5662.0
619,1,12854.0
620,1,7585.0
621,1,8216.0
622,1,2847.0
623,1,2912.0
624,1,14514.0
625,1,60564.0
626,1,3701.0
627,1,21899.0
628,1,1324.0
629,1,1891.0
630,1,1614.0
631,1,8701.0
632,1,4757.0
633,1,1790.0
634,1,2401.0
635,1,6431.0
636,1,9489.0
637,1,1362.0
638,1,3402.0
639,1,6571.0
640,1,16872.0
641,1,11435.0
642,1,2068.0
643,1,7592.0
644,1,9897.0
645,1,776.0
646,1,1512.0
647,1,7217.0
648,1,470.0
649,1,6003.0
650,1,8777.0
651,1,518.0
652,1,1707.0
653,1,6786.0
654,1,65274.0
655,1,1396.0
656,1,2263.0
657,1,7545.0
658,1,6615.0
659,1,1556.0
660,1,56.0
661,1,21591.0
662,1,6688.0
663,1,1390.0
664,1,5769.0
665,1,3208.0
666,1,3545.0
667,1,27709.0
668,1,4506.0
669,1,3930.0
670,1,2272.0
671,1,8632.0
672,1,28592.0
673,1,1134.0
674,1,1033.0
675,1,1357.0
676,1,289.0
677,1,513.0
678,1,26.0
679,1,0.0
680,1,1181.0
681,1,1440.0
682,1,6478.0
683,1,917.0
684,1,2086.0
685,1,3484.0
686,1,1551.0
687,1,992.0
688,1,27.0
689,1,680.0
690,1,16805.0
691,1,1912.0
692,1,3359.0
693,1,1367.0
694,1,47.0
695,1,4459.0
696,1,2590.0
697,1,577.0
698,1,5387.0
699,1,2038.0
700,1,2430.0
701,1,700.0
702,1,3389.0
703,1,1694.0
704,1,2670.0
705,1,2873.0
706,1,5505.0
707,1,4102.0
708,1,8315.0
709,1,1012.0
710,1,5951.0
711,1,2871.0
712,1,38540.0
713,1,3123.0
714,1,9110.0
715,1,4089.0
716,1,23020.0
717,1,26.0
718,1,0.0
719,1,34.0
720,1,5064.0
721,1,97.0
722,1,635.0
723,1,1626.0
724,1,0.0
725,1,33.0
726,1,3.0
727,1,1953.0
728,1,47237.0
729,1,18501.0
730,1,1539.0
731,1,935.0
732,1,4157.0
733,1,8878.0
734,1,5019.0
735,1,710.0
736,1,41184.0
737,1,2174.0
738,1,1439.0
739,1,2635.0
740,1,293.0
741,1,687.0
742,1,1577.0
743,1,323.0
744,1,2379.0
745,1,91.0
746,1,257984.0
747,1,13573.0
748,1,25201.0
749,1,50689.0
750,1,29820.0
751,1,7587.0
752,1,22676.0
753,1,724.0
754,1,8826.0
755,1,864.0
756,1,5188.0
757,1,314.0
758,1,15101.0
759,1,19095.0
760,1,5445.0
761,1,21538.0
762,1,1274.0
763,1,129.0
764,1,12166.0
765,1,4947.0
766,1,1427.0
767,1,7404.0
768,1,1994.0
769,1,23075.0
770,1,3473.0
771,1,317.0
772,1,255.0
773,1,936.0
774,1,4135.0
775,1,1159.0
776,1,2.0
777,1,119.0
778,1,277.0
779,1,1285.0
780,1,4645.0
781,1,9952.0
782,1,1810.0
783,1,15933.0
784,1,6918.0
785,1,1956.0
786,1,16356.0
787,1,21946.0
788,1,1811.0
789,1,13687.0
790,1,810.0
791,1,15490.0
792,1,25941.0
793,1,73778.0
794,1,37845.0
795,1,1415.0
796,1,1496.0
797,1,5334.0
798,1,2214.0
799,1,3604.0
800,1,3049.0
801,1,7124.0
802,1,1.0
803,1,707.0
804,1,80774.0
805,1,60.0
806,1,672.0
807,1,79.0
808,1,89.0
809,1,314.0
810,1,93.0
811,1,3125.0
812,1,7830.0
813,1,70.0
814,1,53116.0
815,1,1232.0
816,1,10667.0
817,1,3378.0
818,1,6410.0
819,1,225.0
