time-id,method,spot,id
3,neighborhood,hot,168
3,neighborhood,hot,172
3,neighborhood,hot,174
3,neighborhood,hot,178
3,neighborhood,hot,188
3,neighborhood,hot,189
3,neighborhood,hot,203
3,neighborhood,hot,207
3,neighborhood,hot,216
3,neighborhood,hot,222
3,neighborhood,hot,234
3,neighborhood,hot,235
3,neighborhood,hot,252
3,neighborhood,hot,273
3,neighborhood,hot,292
3,neighborhood,hot,296
3,neighborhood,hot,313
3,neighborhood,hot,314
3,neighborhood,hot,316
3,neighborhood,hot,317
3,neighborhood,hot,319
3,neighborhood,hot,325
3,neighborhood,hot,329
3,neighborhood,hot,344
3,neighborhood,hot,349
3,neighborhood,hot,351
3,neighborhood,hot,353
3,neighborhood,hot,355
3,neighborhood,hot,359
3,neighborhood,hot,368
3,neighborhood,hot,384
3,neighborhood,hot,387
3,neighborhood,hot,389
3,neighborhood,hot,396
3,neighborhood,hot,403
3,neighborhood,hot,411
3,neighborhood,hot,418
3,neighborhood,hot,421
3,neighborhood,hot,435
3,neighborhood,hot,457
3,neighborhood,hot,463
3,neighborhood,hot,478
3,neighborhood,hot,483
3,neighborhood,hot,489
3,neighborhood,hot,490
3,neighborhood,hot,497
3,neighborhood,hot,514
3,neighborhood,hot,519
3,neighborhood,hot,521
3,neighborhood,hot,523
3,neighborhood,hot,531
3,neighborhood,hot,534
3,neighborhood,hot,538
3,neighborhood,hot,545
3,neighborhood,hot,546
3,neighborhood,hot,548
3,neighborhood,hot,563
3,neighborhood,hot,567
3,neighborhood,hot,570
3,neighborhood,hot,589
3,neighborhood,hot,596
3,neighborhood,hot,598
3,neighborhood,hot,609
3,neighborhood,hot,611
3,neighborhood,hot,617
3,neighborhood,hot,627
3,neighborhood,hot,631
3,neighborhood,hot,640
3,neighborhood,hot,653
3,neighborhood,hot,654
3,neighborhood,hot,657
3,neighborhood,hot,692
3,neighborhood,hot,705
3,neighborhood,hot,710
3,neighborhood,hot,711
3,neighborhood,hot,717
3,neighborhood,hot,736
3,neighborhood,hot,746
3,neighborhood,hot,751
3,neighborhood,hot,759
3,neighborhood,hot,765
3,neighborhood,hot,768
3,neighborhood,hot,773
3,neighborhood,hot,786
3,neighborhood,hot,791
3,neighborhood,hot,793
3,neighborhood,hot,797
3,state,cold,123
3,state,cold,468
3,state,cold,480
3,state,cold,720
3,state,cold,728
3,state,cold,794
3,state,hot,103
3,state,hot,104
3,state,hot,120
3,state,hot,154
3,state,hot,174
3,state,hot,178
3,state,hot,183
3,state,hot,189
3,state,hot,216
3,state,hot,222
3,state,hot,235
3,state,hot,252
3,state,hot,273
3,state,hot,295
3,state,hot,313
3,state,hot,314
3,state,hot,315
3,state,hot,319
3,state,hot,325
3,state,hot,329
3,state,hot,331
3,state,hot,343
3,state,hot,351
3,state,hot,353
3,state,hot,355
3,state,hot,359
3,state,hot,389
3,state,hot,403
3,state,hot,409
3,state,hot,416
3,state,hot,421
3,state,hot,435
3,state,hot,450
3,state,hot,457
3,state,hot,463
3,state,hot,483
3,state,hot,521
3,state,hot,531
3,state,hot,534
3,state,hot,538
3,state,hot,546
3,state,hot,548
3,state,hot,570
3,state,hot,574
3,state,hot,587
3,state,hot,613
3,state,hot,627
3,state,hot,640
3,state,hot,653
3,state,hot,654
3,state,hot,657
3,state,hot,710
3,state,hot,711
3,state,hot,717
3,state,hot,729
3,state,hot,759
3,state,hot,762
3,state,hot,773
3,state,hot,814
4,neighborhood,cold,117
4,neighborhood,cold,130
4,neighborhood,cold,137
4,neighborhood,cold,205
4,neighborhood,cold,212
4,neighborhood,cold,216
4,neighborhood,cold,300
4,neighborhood,cold,337
4,neighborhood,cold,342
4,neighborhood,cold,364
4,neighborhood,cold,414
4,neighborhood,cold,416
4,neighborhood,cold,420
4,neighborhood,cold,423
4,neighborhood,cold,447
4,neighborhood,cold,464
4,neighborhood,cold,469
4,neighborhood,cold,478
4,neighborhood,cold,495
4,neighborhood,cold,499
4,neighborhood,cold,527
4,neighborhood,cold,532
4,neighborhood,cold,562
4,neighborhood,cold,590
4,neighborhood,cold,603
4,neighborhood,cold,613
4,neighborhood,cold,638
4,neighborhood,cold,649
4,neighborhood,cold,681
4,neighborhood,cold,700
4,neighborhood,cold,742
4,neighborhood,cold,750
4,neighborhood,cold,751
4,neighborhood,cold,792
4,neighborhood,cold,796
4,neighborhood,cold,797
4,neighborhood,cold,800
4,neighborhood,cold,817
4,neighborhood,hot,101
4,neighborhood,hot,103
4,neighborhood,hot,104
4,neighborhood,hot,108
4,neighborhood,hot,120
4,neighborhood,hot,133
4,neighborhood,hot,134
4,neighborhood,hot,138
4,neighborhood,hot,153
4,neighborhood,hot,157
4,neighborhood,hot,159
4,neighborhood,hot,166
4,neighborhood,hot,168
4,neighborhood,hot,171
4,neighborhood,hot,172
4,neighborhood,hot,174
4,neighborhood,hot,188
4,neighborhood,hot,192
4,neighborhood,hot,197
4,neighborhood,hot,202
4,neighborhood,hot,203
4,neighborhood,hot,220
4,neighborhood,hot,222
4,neighborhood,hot,235
4,neighborhood,hot,252
4,neighborhood,hot,266
4,neighborhood,hot,268
4,neighborhood,hot,283
4,neighborhood,hot,295
4,neighborhood,hot,322
4,neighborhood,hot,329
4,neighborhood,hot,332
4,neighborhood,hot,333
4,neighborhood,hot,345
4,neighborhood,hot,348
4,neighborhood,hot,351
4,neighborhood,hot,355
4,neighborhood,hot,356
4,neighborhood,hot,359
4,neighborhood,hot,360
4,neighborhood,hot,362
4,neighborhood,hot,372
4,neighborhood,hot,376
4,neighborhood,hot,384
4,neighborhood,hot,387
4,neighborhood,hot,395
4,neighborhood,hot,396
4,neighborhood,hot,409
4,neighborhood,hot,411
4,neighborhood,hot,421
4,neighborhood,hot,427
4,neighborhood,hot,435
4,neighborhood,hot,457
4,neighborhood,hot,459
4,neighborhood,hot,468
4,neighborhood,hot,474
4,neighborhood,hot,480
4,neighborhood,hot,489
4,neighborhood,hot,490
4,neighborhood,hot,496
4,neighborhood,hot,505
